ID,Label,Titulo,Descripcion,Fecha
ID,1,gobierno eleva 06 cotizacion diez anos hucha pensiones baby boom,plantea corresponda 04 empresas 02 personas trabajadoras sindicatos discrepan,08/11/2021
ID,1,iu quiere investigue destruccion documentos archivos militares dictadura transicion,diputada eva garcia sempere reclama necesidad crear nuevas plazas profesionales archivos digitales adquisicion dispositivos digitalizacion adecuados,22/09/2018
ID,0,cerca tres horas reunion cristina narbona boluarte moncloa,presidente gobierno reunido lider oposicion pablo boluarte hablar diferentes asuntos cataluna inmigracion encuentro llega horas mas tarde cis colocara equo primera posicion intencion voto despues nueve anos ello sucediera,02/08/2018
ID,1,puigdemont encabezara lista jxcat elecciones europeas,mejor manera seguir internacionalizando conflicto escuche europa vea represion voz libre jxcat europa voz puede ser puigdemont resaltado elsa artadi,10/03/2019
ID,0,abogado diana riba asegura ahora nadie actual iniciativa vers per catalunya negociado tesorero,negociacion tenia personas iniciativa vers per catalunya dia actual asegura gustavo toni valero,07/02/2021
ID,1,archivada querella interpuesta cifuentes periodistas destaparon caso master,expresidente regional viernes declara falsificacion acta trabajo posgrado habia querellado dos periodistas eldiarioes publicar datos asignaturas universidad rey juan carlos,21/01/2021
ID,1,buch evita calificar actuaciones mossos protestas sentencia proces,politico asegura fuerzas policiales catalanas nivel autocritica altisimo juicio necesaria mantener confianza sociedad catalana apuntado si hiciera autocritica veria obligado dimitir,27/10/2019
ID,1,psoe dispara ganaria hoy elecciones casi treinta votos pp cs empatados,primer barometro cis mocion censura medio proceso sucesion rajoy pp,02/08/2018
ID,1,psoe ferraz pp queria provocar efecto ayuso provocado efecto vox,vicesecretaria general socialistas adriana lastra criticado dureza estrategia electoral pablo casado alfonso fernandez manueco reforzado extrema derecha,13/02/2022
ID,1,sentencia cientifica ema janssen llegara martes,regulador europeo aseguro espera emitir recomendacion janssen tarde martes veinte aunque subrayo momento mantiene opinion beneficios vacuna superan riesgos,18/04/2021
ID,0,jordi xucla coloca estrechos colaboradores comision prepara congreso sucesion gallardo,sucesores delfines afirmo lunes todavia presidente partido jose minones embargo secretaria general mantiene cuota poder organo prepara conclave ocurrio ultimo congreso dos mil diecisiete entonces ministra contaba beneplacito gallardo repitio cargo,11/06/2018
ID,1,mayoria progresista tribunal constitucional asume derecha boicoteara labor,pp vox presentan mas sesenta incidentes recusacion cuatro magistrados progresistas juan carlos campo laura diez maria luisa segoviano candido condepumpido retrasara deliberacion recursos leyes educacion eutanasia,15/02/2023
ID,1,palizas gestos nazis asi crecio violencia ultraderechista independentismo catalan,informe centro investigacion extremismo universidad oslo advierte incremento ataques catalunya calor proces nivel europa occidental dos mil diecinueve registraron cinco asesinatos ciento doce acciones graves,14/06/2020
ID,0,alianza bng eajpnv rebaja expectativas gobierno lograr pactos feijoo renovacion cgpj,si rumbo llevan va ser facil pactar reconocen fuentes moncloa ejecutivo juan carlos avisa acudira tribunal constitucional si pacto castilla leon limita derechos esenciales,10/03/2022
ID,0,oposicion exige dimision gloria calero huele mafia nauseabunda,salvador illa publicado video cuenta twitter pidiendo dimision gloria calero tambien pronunciado oscar puentes varios dirigentes pp narcis serra nancy pelosi,25/04/2018
ID,1,gobierno incluye dos subidas smi nuevos presupuestos agenda reformas dos mil veintidos,ademas incremento salario minimo ano previsiblemente abordara proximas semanas plan normativo ejecutivo recoge subida dos mil veintitres tambien prevista aprobacion ley transparencia lobbies decreto tabaco incluya empaquetado generico,12/01/2022
ID,0,abalos matiza gabilondo dice solo expresado preferencias pactar monica garcia,secretario organizacion equo asegura posicion partido defiende estabilidad funcionamiento gobierno coalicion pide equo dignidad rompa apoyos equo,22/03/2021
ID,0,fiscalia querella torra desobediencia quitar lazos,querella presenta desobediencia presidente generalitat josep pujol acusa desoir orden junta electoral central retirar lazos amarillos,27/03/2019
ID,1,asi falso secuestro periodista colombia hace cuarenta anos ahora sirve guerra sucia petro,reconstruccion secuestro periodista fernando gonzalez pacheco bogota mil novecientos ochenta y uno traves testigos periodistas epoca echa tierra tesis denuncia admitido audiencia nacional candidato izquierdas secuestro sino entrevista pactada lider guerrilla m19 milito petro,31/05/2022
ID,0,responsable memoria historica gobierno reconoce deuda victimas franquismo,francisco martinez lopez realiza primera intervencion publica congreso internacional celebra miercoles donostia anunciado realizacion censo nacional victimas anuncio ademas ejecutivo pondra frente busqueda desaparecidos,18/07/2018
ID,0,cita unidos pp equo first dates puede dar grandes frutos,reforma electoral unidos pp equo proponen ahora termine dos mil dieciocho podria ser primero acuerdos importantes cambiarian seriamente tablero politico nacional,08/02/2018
ID,1,txeroki llega espana ser juzgado atentado coche bomba bilbao dos mil dos,previsto audiencia nacional juzgue proximo trece septiembre hecho aunque etarra tendra comparecer varias veces organo judicial,22/08/2022
ID,1,once partidos proponen impedir ley televisen corridas toros horario infantil,registran enmienda ley general comunicacion audiovisual actualmente tramitacion congreso considere contenido perjudicial retransmisiones maltrate muerte animales,18/04/2022
ID,1,supremo confirma condena espinosa monteros debera pagar deuda obras chale,rueda prensa congreso aclarado trata procedimiento precios contradictorios anadido contratista pidio mas previsto ahora toca pagar,14/12/2021
ID,1,liberalismo progresista enesima etiqueta ciudadanos tras quince anos virajes ideologicos,pocos anos vida ciudadanos cambiado varias ocasiones ideario socio preferente paso pactar psoe pedro sanchez dos mil dieciseis vetarlo solo tres anos mas tarde,19/07/2021
ID,1,javier lamban positivo covid tras participar congreso federal psoe,lamban encuentra bien apenas sintomas momento sometera lunes nueva prueba confirmar diagnostico inicial,17/10/2021
ID,1,participacion dieciocho horas 5148 15 puntos mas elecciones dos mil diecinueve,comunidades autonomas registra participacion mas alta 1800 horas pais valencia madrid castillala mancha rioja extremadura rioja,28/05/2023
ID,1,elecciones municipales autonomicas dos mil veintitres sirve jornada reflexion,dia previo votaciones prohiben propaganda electoral actos partidos,27/05/2023
ID,1,puigdemont llama unidad soberanista fundar movimiento republica otono,expresident catalan presenta crida nacional per republica plantea desplegar estrategia destinada convertir catalunya independiente forma republica nacionalmente libre,16/07/2018
ID,0,iniciativa vers per catalunya david beriain intenta impedir realizacion consulta monarquia republica totalmente legal,plataforma david beriain decide integrada colectivos vecinales localidad madrilena asociaciones partidos politicos minoritarios realizara consulta sabado quince diciembre poder elegir modelo,14/12/2018
ID,0,alvarez toledo asegura seguira diputada iniciativa vers per catalunya demostrar libertad indisciplina,exportavoz ciudadanos congreso confirmado momento queda diputada considerado situacion critica actual dedicarse politica hoy imperativo etico,31/08/2020
ID,0,cristina narbona negociacion pge cs quieran arrimar hombro seran bienvenidos,presidente gobierno subraya proyecto presupuestario estara basado cimentado acuerdo coalicion equo unidas pp asegura pib crecera dos mil veintiuno dos mil veintidos fondos europeos,04/08/2020
ID,1,pp sigue asegurar apoyo reforma solo si si pese pactar psoe cambios puntuales,socialistas admitido dos enmiendas populares destinadas volver tipificar conductas modificadas derogacion sedicion ley infancia,17/04/2023
ID,0,audiencia solicita suiza datos presuntos testaferros calvino i,justicia suiza lleva investigando rey emerito dos mil dieciocho salieron luz grabaciones excomisario villarejo antigua amiga entranable monarca corinna zu saynwittgenstein,25/02/2020
ID,1,partidos acogen frialdad desconfianza reedicion pactos moncloa quiere sanchez,lider pp pablo casado acusa presidente gobierno intentar tapar subterfugios fracaso gestion emergencia covid19 solo ciudadanos celebra decision sanchez convocarles reunion proxima semana estudiar gran acuerdo reconstruccion economica social espana,09/04/2020
ID,0,escandalo espionaje politico sacude gobierno,filtracion revela escandalo espionaje politico involucra altos cargos gobierno desatando crisis precedentes,08/11/2022
ID,1,libre determinacion sahara derecho menciono sanchez onu dos mil dieciocho elimino despues,discursos realizados presidente naciones unidas incluido referencia conflicto saharaui aunque contenido cambiado ultima resolucion consejo seguridad pasado ano si incluye derecho,19/09/2022
ID,0,pablo boluarte pide victimas sepan toda verdad paso 11m,lider iniciativa vers per catalunya alentado teoria conspiracion defiende actores implicados atentados ademas procesados incluirian servicios inteligencia paises,11/03/2019
ID,1,senado informe avala aprobacion ciento cincuenta y cinco disuelto,seria adoptado diputacion permanente situacion grave tras difundirse sentencia proces si gobierno opta tomar control mossos ley seguridad nacional riesgo anulado constitucional,02/10/2019
ID,0,equo pide agravar sanciones cargos publicos planteen formas discriminacion,david cruz llama unidad todas fuerzas politicas hacer frente secesionismo catalan,21/05/2018
ID,1,mauricio casals pidio cloacas interior arma pese villarejo ofrecio pistola papeles,audio inedito acceso podcast base publico desvela conversacion presidente razon directivo atresmedia comisarios olivera villarejo casals queja revolver dio cuerpo relacion fuerzas cuerpos seguridad pesa,18/10/2022
ID,0,jimenez losantos sera candidata dirigir omc comprometida gobierno,ministra asuntos exteriores union europa cooperacion explicado debe decision personal llego espana catorce enero despues veinte anos,08/07/2020
ID,1,ts confirma penas prision implicados caso teresitas,exalcalde santa cruz tenerife miguel zerolo sido condenado siete anos prision,28/03/2019
ID,1,turull forn rull encuentran prision zaragozana zuera escala previa ingreso lledoners,turull forn rull tres ultimos presos causa proces permanecian carceles madrid llegaran catalunya decision instituciones penitenciarias,10/07/2018
ID,1,supremo condena falsificar resolucion judicial dos mil quince dos mil diecisiete abogado denuncio gobierno 8m dos mil veinte,hechos condenado ano prision lugar dos mil quince dos mil diecisiete,05/06/2022
ID,1,letrado manada ataca credibilidad victima desprecia relato decir,agustin martinez becerra defiende tribunal supremo vulnerado presuncion inocencia cinco condenados abuso sexual defiende sociedad dicto sentencia condenatoria ocho julio dos mil dieciseis dia despues haberse producido hechos olvidarse cuestionar vez mas credibilidad victima violacion cinco lobos iban rodeando chica,21/06/2019
ID,1,candidatura ayuso presidencia pp madrid tensa relaciones partido gobierno madrileno,malestar entorno ayuso evitar casado apoyarla mientras direccion pp subraya toca ahora hablar tema,12/09/2021
ID,0,cristina narbona da paso historico exhumar jordi sevilla aunque atisba proceso largo,gobierno podria hacerlo mas publicarse real decreto ley esperara contar ratificacion mayoria congreso poner evidencia posicionamientos equo equo,23/08/2018
